Id	Count	File(s)
8L18	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L18_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L18_R2.fastq
4SP8	7387	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP8_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP8_R2.fastq
4SP16	3913	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP16_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP16_R2.fastq
4SP24	3299	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP24_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP24_R2.fastq
4L7	6255	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L7_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L7_R2.fastq
4L15	9356	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L15_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L15_R2.fastq
4L23	10515	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L23_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L23_R2.fastq
4L31	4455	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L31_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L31_R2.fastq
4L39	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L39_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L39_R2.fastq
4L47	4462	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L47_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L47_R2.fastq
8L3	4	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L3_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L3_R2.fastq
8L11	7285	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L11_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L11_R2.fastq
4SP1	4705	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP1_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP1_R2.fastq
4SP9	4800	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP9_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP9_R2.fastq
4SP17	5945	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP17_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP17_R2.fastq
4SP25	2088	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP25_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP25_R2.fastq
4L8	3344	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L8_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L8_R2.fastq
4L16	683	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L16_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L16_R2.fastq
4L24	12457	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L24_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L24_R2.fastq
4L32	15445	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L32_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L32_R2.fastq
4L40	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L40_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L40_R2.fastq
4L48	8734	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L48_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L48_R2.fastq
